price_eur,location,city,governorate,Area,room,bathroom,age,state,distance_to_capital,garage,garden,concierge,beach_view,mountain_view,pool,elevator,furnished,equipped_kitchen,central_heating,air_conditioning
294500,La Manouba,La Manouba,La Manouba,650.0,10,4,1,1,14.3537727228831,1,0,0,0,0,0,0,0,1,1,1
424700,El Menzah 5,Ariana Ville,Ariana,603.0,9,3,1,1,6.32498837542227,1,0,0,0,0,0,0,0,0,1,0
217000,Hammamet Nord,Hammamet,Nabeul,600.0,4,4,0,2,65.4597220191691,1,0,0,1,1,0,0,0,0,1,0
434000,El Menzah 9,El Menzah,tunis,550.0,5,2,2,2,6.40986136903085,1,0,1,0,0,0,0,0,1,1,1
511500,Cité Ennasr 2,Ariana Ville,Ariana,515.0,7,5,3,1,6.32498837542227,1,0,0,0,0,1,0,0,0,1,1
139500,La Marsa,La Marsa,tunis,500.0,10,4,1,1,17.7221901283016,1,0,0,0,0,0,0,0,1,1,0
201500,Raoued,Raoued,Ariana,400.0,8,4,1,2,17.2585084728758,1,0,0,1,0,0,0,0,1,1,1
465000,Cité Mohamed Ali,Rades,Ben Arous,385.0,7,7,2,2,11.4957696233616,1,0,0,0,0,0,0,0,1,1,0
294500,Akouda,Akouda,Sousse,371.0,8,5,1,2,111.167790931873,1,0,0,0,0,1,0,1,1,1,1
279000,Hammamet Nord,Hammamet,Nabeul,300.0,5,3,1,2,65.4597220191691,0,0,0,0,0,0,0,0,0,0,0
150350,Cité El Khalil,La Marsa,tunis,120.0,9,5,2,1,17.7221901283016,1,0,0,0,1,0,0,0,1,1,1
1240000,Ariana,Ariana Ville,Ariana,9268.0,7,3,1,1,6.32498837542227,1,0,0,0,0,1,0,0,1,1,1
3720000,La Soukra,La Soukra,Ariana,6800.0,10,4,4,1,13.6515294537323,1,0,0,0,0,1,0,1,1,1,1
139500,Le Kram,Le Kram,tunis,5700.0,12,12,1,1,15.3139811663917,0,0,0,0,0,0,0,0,0,0,0
139500,Carthage,Carthage,tunis,5000.0,6,2,1,1,16.5057647881764,1,0,0,0,0,1,0,0,0,0,0
4340,Le Kram,Le Kram,tunis,4000.0,12,12,0,1,15.3139811663917,0,0,0,0,0,0,0,0,0,0,0
139500,Gammarth Supérieur,La Marsa,tunis,2000.0,8,6,1,1,17.2780183745428,1,0,0,0,0,1,0,0,1,1,1
310000,Djerba,Djerba,Djerba,1400.0,8,8,1,1,336.063533301856,1,0,0,1,0,0,0,0,0,0,0
139500,Gammarth Supérieur,La Marsa,tunis,1000.0,7,4,1,1,17.7221901283016,1,0,0,1,1,1,0,0,1,1,1
511500,Les Jardins d'El Menzah 1,Ariana Ville,Ariana,910.0,9,8,1,1,6.32498837542227,1,0,0,1,1,1,1,0,1,1,1
558000,El Kantaoui,Hammam Sousse,Sousse,900.0,8,4,3,1,327.765254316544,1,0,0,1,0,1,0,0,0,1,0
248000,Hammamet Sud,Hammamet,Nabeul,865.0,6,4,0,2,65.4597220191691,1,0,0,0,0,1,0,0,1,0,1
573500,Riadh al Andalous,Ariana Ville,Ariana,780.0,10,6,0,2,6.32498837542227,1,0,0,0,1,0,0,0,1,1,1
589000,Mutuelle Ville,El Menzah,tunis,761.0,12,4,4,0,4.6317218774898,1,0,0,0,0,0,0,0,0,0,0
372000,Khaznadar,Le Bardo,tunis,687.0,8,2,1,1,5.54992694975533,1,0,0,0,0,0,0,0,0,0,0
139500,Le Bardo,Le Bardo,tunis,686.0,8,3,5,1,5.30148623956287,1,0,0,0,0,0,0,0,0,1,1
387500,Ariana,Ariana Ville,Ariana,652.0,8,4,1,2,6.32498837542227,1,0,0,0,1,0,0,0,1,1,0
461900,El Manar 1,El Menzah,tunis,576.0,8,4,1,1,4.6317218774898,1,0,0,0,0,1,0,0,0,1,1
356500,El Menzah 9,El Menzah,tunis,560.0,8,4,1,1,4.6317218774898,1,0,0,0,0,0,0,0,0,1,1
341000,Hammamet Sud,Hammamet,Nabeul,542.0,12,6,1,2,65.4597220191691,0,0,0,0,0,0,0,0,1,1,1
